name,state,population
Fisher,Illinois,2001
Cowarts,Alabama,2000
Wakarusa,Indiana,1999
Audubon,Iowa,1999
Danville,Arkansas,1997
Anahuac,Texas,1997
Hale Center,Texas,1997
Upper Nyack,New York,1996
Southmont,Pennsylvania,1996
Scottsville,New York,1995
Cave City,Arkansas,1994
Cimarron,Kansas,1994
Chelsea,Oklahoma,1994
Cold Spring,New York,1993
McColl,South Carolina,1993
Springfield,Minnesota,1992
East McKeesport,Pennsylvania,1992
Appomattox,Virginia,1992
Ocean Gate,New Jersey,1991
Fort Plain,New York,1991
Dunnellon,Florida,1990
Ida Grove,Iowa,1990
Constantine,Michigan,1990
Hoyt Lakes,Minnesota,1990
Carlin,Nevada,1990
Mill City,Oregon,1990
Runaway Bay,Texas,1990
Coleraine,Minnesota,1989
Walton Hills,Ohio,1988
Belleville,Kansas,1987
Coaling,Alabama,1986
Three Forks,Montana,1986
Bellville,Ohio,1986
Sigourney,Iowa,1985
Woodville,Ohio,1985
Ortonville,Minnesota,1984
Laurel Springs,New Jersey,1984
Little River-Academy,Texas,1984
Parkersburg,Iowa,1983
Cresson,Texas,1983
Oakley,Kansas,1982
Warson Woods,Missouri,1982
Huntington,Utah,1982
Spencer,West Virginia,1982
Westmorland,California,1981
Mason City,Illinois,1981
Arcade,Georgia,1980
Hertford,North Carolina,1980
Walden,Tennessee,1979
Rockport,Indiana,1977
Bangor,Michigan,1977
Slayton,Minnesota,1977
Hillsboro Beach,Florida,1975
Mount Vernon,Georgia,1975
Kahoka,Missouri,1975
Camden,Ohio,1975
Kiawah Island,South Carolina,1975
Lamoni,Iowa,1974
Syracuse,Nebraska,1974
Stevenson,Alabama,1973
Quitman,Mississippi,1973
Rockdale,Illinois,1972
Hinckley,Illinois,1971
Livingston,Louisiana,1971
Toquerville,Utah,1970
Trion,Georgia,1969
Imperial,Nebraska,1969
Capac,Michigan,1968
Poth,Texas,1968
Creola,Alabama,1967
Dallas Center,Iowa,1966
Bennington,Nebraska,1966
Adamstown,Pennsylvania,1966
Williamsport,Indiana,1965
Burnham,Pennsylvania,1965
Lewistown,Illinois,1964
Cross Roads,Texas,1964
Uniontown,Alabama,1963
Ogden,Iowa,1963
Munising,Michigan,1963
Olathe,Colorado,1962
Mount Olive,Illinois,1961
New Chicago,Indiana,1961
Van Horn,Texas,1961
Ellinwood,Kansas,1960
Roundup,Montana,1960
Berlin,Pennsylvania,1960
Trainer,Pennsylvania,1960
Warroad,Minnesota,1959
Jones Creek,Texas,1958
Splendora,Texas,1958
Lewiston,Utah,1958
Erath,Louisiana,1957
Ponderay,Idaho,1956
St. Charles,Michigan,1956
Hanley Hills,Missouri,1956
Moundridge,Kansas,1955
Krugerville,Texas,1955
Newtown,Connecticut,1953
Cottonport,Louisiana,1952
Blooming Prairie,Minnesota,1952
Red Hook,New York,1949
Dover,Pennsylvania,1949
Spring City,Tennessee,1948
Prairie Grove,Illinois,1947
Denver,Iowa,1946
Grayling,Michigan,1946
Mountain Lake,Minnesota,1946
Sparta,Missouri,1946
Leesport,Pennsylvania,1946
Calico Rock,Arkansas,1945
Minerva Park,Ohio,1944
Pawnee,Oklahoma,1944
Columbia City,Oregon,1944
Winlock,Washington,1944
Hurstbourne Acres,Kentucky,1943
Myersville,Maryland,1943
Purvis,Mississippi,1943
Mabton,Washington,1943
Tenino,Washington,1943
Ashland,Alabama,1942
Waverly,Virginia,1942
Waskom,Texas,1940
Davisboro,Georgia,1939
Ellijay,Georgia,1938
Monon,Indiana,1938
Lakesite,Tennessee,1938
Minneapolis,Kansas,1936
L'Anse,Michigan,1936
Hinckley,Minnesota,1936
Mona,Utah,1935
Florala,Alabama,1934
Bull Shoals,Arkansas,1934
Roanoke,Illinois,1934
Baxter,Tennessee,1934
Campbellsport,Wisconsin,1934
Haynesville,Louisiana,1933
Avon-by-the-Sea,New Jersey,1933
Vale,Oregon,1933
Mercer,Pennsylvania,1933
Wilber,Nebraska,1931
Wellsville,Kansas,1930
Lake Isabella,Michigan,1929
Coupeville,Washington,1928
Wynnewood,Oklahoma,1927
Great Falls,South Carolina,1927
Wilsonville,Alabama,1926
Vinita Park,Missouri,1926
Rainier,Oregon,1926
Grandview,Texas,1926
Olton,Texas,1926
Colby,Wisconsin,1926
Greensboro,Maryland,1925
Arcade,New York,1925
Stewart Manor,New York,1925
Leachville,Arkansas,1924
Center,Colorado,1924
Catlin,Illinois,1924
Dalton,Ohio,1924
Silverhill,Alabama,1923
Long Lake,Minnesota,1923
Laurel Hollow,New York,1923
Albany,Texas,1923
Baraga,Michigan,1922
Sullivan's Island,South Carolina,1922
Biggs,California,1921
Ellis,Kansas,1921
Decatur,Mississippi,1920
Westlake,Texas,1920
Hayden,Colorado,1919
Mannington,West Virginia,1916
Springfield,South Dakota,1913
Surgoinsville,Tennessee,1913
Lake Village,Arkansas,1912
Gibbon,Nebraska,1912
Blacksburg,South Carolina,1912
Westover,Alabama,1911
New Carlisle,Indiana,1910
Seymour,Missouri,1909
Three Way,Tennessee,1909
Chapin,South Carolina,1908
Athens,Illinois,1907
Blackville,South Carolina,1907
Columbus,Montana,1906
Delaware City,Delaware,1905
Kershaw,South Carolina,1905
Prophetstown,Illinois,1904
Leslie,Michigan,1903
Minonk,Illinois,1902
South Zanesville,Ohio,1902
Burns Flat,Oklahoma,1902
Lester Prairie,Minnesota,1901
New Oxford,Pennsylvania,1901
Elida,Ohio,1900
Honey Brook,Pennsylvania,1900
Cedar Bluff,Alabama,1899
Marion,Kansas,1898
Thayer,Missouri,1898
El Portal,Florida,1897
Royal City,Washington,1897
Hartshorne,Oklahoma,1896
Dauphin Island,Alabama,1895
Howard City,Michigan,1895
Colquitt,Georgia,1894
Hopewell,New Jersey,1894
Sparta,North Carolina,1894
Parchment,Michigan,1893
Cross Plains,Tennessee,1893
Meadowlakes,Texas,1893
Augusta,Arkansas,1892
Nettleton,Mississippi,1892
Inola,Oklahoma,1892
Steeleville,Illinois,1890
Yale,Michigan,1890
St. Lawrence,Pennsylvania,1890
Fontana-on-Geneva Lake,Wisconsin,1890
Patton Village,Texas,1888
Merrionette Park,Illinois,1886
Stratford,Texas,1886
St. Paris,Ohio,1885
Porterdale,Georgia,1884
Melbourne,Arkansas,1883
Judsonia,Arkansas,1881
Raymond,Mississippi,1881
Pikeville,Tennessee,1880
Trempealeau,Wisconsin,1880
Battle Ground,Indiana,1879
Nicholson,Georgia,1878
Kenyon,Minnesota,1878
Jamestown,Kentucky,1876
Laurium,Michigan,1876
Warrenton,Georgia,1875
Dover,Tennessee,1875
New Athens,Illinois,1873
Malta,Montana,1872
Woodcreek,Texas,1872
Albion,Illinois,1871
New London,Iowa,1870
Shelby,Mississippi,1870
Gearhart,Oregon,1870
Caldwell,Ohio,1869
Wyoming,Delaware,1868
Beverly Hills,Texas,1867
San Augustine,Texas,1867
Churubusco,Indiana,1866
Edgerton,Ohio,1866
Duenweg,Missouri,1864
Lattingtown,New York,1864
Badin,North Carolina,1864
Dryden,New York,1863
New Hartford,New York,1862
Rushford,Minnesota,1861
Piedmont,Missouri,1861
Graysville,Alabama,1860
Samson,Alabama,1860
Durham,Oregon,1860
Lacon,Illinois,1859
Clarendon,Texas,1859
Sesser,Illinois,1857
Lykens,Pennsylvania,1857
Cameron,Wisconsin,1857
Phelps,New York,1856
Emporium,Pennsylvania,1856
Millwood,Washington,1856
Stuart,Iowa,1855
East Pittsburgh,Pennsylvania,1855
Buffalo,Texas,1855
Southside Place,Texas,1855
Gila Bend,Arizona,1854
South Roxana,Illinois,1854
Harlan,Kentucky,1854
Gallatin,Missouri,1854
Lakeside,Oregon,1854
Chapel Hill,Tennessee,1854
Marlette,Michigan,1853
Carterville,Missouri,1853
Biscoe,North Carolina,1852
Oroville,Washington,1852
Hamlin,Texas,1851
Jefferson,Texas,1851
Sour Lake,Texas,1851
Hammond,Wisconsin,1851
Ben Avon,Pennsylvania,1850
South Connellsville,Pennsylvania,1850
Vernon,Alabama,1849
Valley View,Ohio,1849
Arkoma,Oklahoma,1849
Brownsville,Oregon,1849
Ingram,Texas,1849
Mart,Texas,1849
Linden,Alabama,1848
Langdon,North Dakota,1847
Ludowici,Georgia,1846
Des Arc,Arkansas,1845
Mackinaw,Illinois,1845
Custer,South Dakota,1844
Aberdeen,Idaho,1843
Tawas City,Michigan,1843
Lavallette,New Jersey,1843
Rhome,Texas,1843
Durand,Wisconsin,1843
Pocahontas,Iowa,1842
Manchester,Ohio,1842
Ocean Ridge,Florida,1841
Sea Girt,New Jersey,1841
Central Square,New York,1840
Berry Hill,Tennessee,1840
Bellevue,Illinois,1839
Bluff City,Tennessee,1839
Crossville,Alabama,1838
Waurika,Oklahoma,1838
Cooperstown,New York,1837
Big Beaver,Pennsylvania,1837
Gurdon,Arkansas,1836
Bernie,Missouri,1834
Youngstown,New York,1834
St. George,South Carolina,1834
Eden,Texas,1834
Sulligent,Alabama,1832
Butler,Georgia,1832
Milan,Indiana,1832
Moorhead,Mississippi,1832
North Belle Vernon,Pennsylvania,1832
Level Plains,Alabama,1831
Itasca,Texas,1831
Magnolia,Mississippi,1830
Martinsburg,Pennsylvania,1830
Coal Grove,Ohio,1827
St. Matthews,South Carolina,1827
Bartonville,Texas,1827
Superior,Nebraska,1826
East Washington,Pennsylvania,1826
Pearson,Georgia,1825
Tennille,Georgia,1825
Rector,Arkansas,1824
Pierce,Nebraska,1822
Jacobus,Pennsylvania,1822
Bay,Arkansas,1821
Cumberland,Kentucky,1821
Uhland,Texas,1821
Wellington,Texas,1821
Oakland,Maryland,1820
Rankin,Pennsylvania,1820
Blountsville,Alabama,1818
South Whitley,Indiana,1818
Harpersville,Alabama,1817
Kearny,Arizona,1817
Leon,Iowa,1817
Conyngham,Pennsylvania,1817
Humboldt,Kansas,1816
Durant,Iowa,1815
Belmont,Mississippi,1815
Fairchance,Pennsylvania,1815
Cedar Point,North Carolina,1814
North Judson,Indiana,1813
Brooklawn,New Jersey,1813
Folsom,New Jersey,1813
Burns,Tennessee,1813
Linden,Texas,1813
Silver Bay,Minnesota,1812
Spencer,Wisconsin,1812
Farmer City,Illinois,1811
Shadeland,Indiana,1811
Weston,Missouri,1811
Sylvania,Alabama,1809
Francis,Utah,1809
Guttenberg,Iowa,1808
Port Carbon,Pennsylvania,1808
Banks,Oregon,1807
Newburgh Heights,Ohio,1806
New Johnsonville,Tennessee,1806
Somerset,Texas,1806
Pendergrass,Georgia,1805
Mayville,North Dakota,1805
Navarre,Ohio,1805
Priest River,Idaho,1804
West Homestead,Pennsylvania,1803
Lorena,Texas,1803
Slater,Missouri,1802
Loretto,Tennessee,1802
Doniphan,Missouri,1801
Morgan,Georgia,1800
Elkhart,Kansas,1800
Baker,Montana,1800
Lovelock,Nevada,1799
Callahan,Florida,1798
Newfield,New Jersey,1798
Enfield,North Carolina,1798
Questa,New Mexico,1797
Bradford,Ohio,1797
Panguitch,Utah,1797
Wiggins,Colorado,1796
Wesson,Mississippi,1796
Cambridge,New York,1796
Lebanon Junction,Kentucky,1795
Holland,Ohio,1794
Fritch,Texas,1794
Braham,Minnesota,1793
Yorktown,Texas,1793
Carbon Cliff,Illinois,1792
Frankton,Indiana,1792
Stockton,Missouri,1792
Mesilla,New Mexico,1792
Fall River,Wisconsin,1792
Jenkins,Kentucky,1791
Elkland,Pennsylvania,1791
Cross City,Florida,1790
Berrien Springs,Michigan,1790
Leetonia,Ohio,1790
Industry,Pennsylvania,1790
Union Point,Georgia,1789
Lawton,Michigan,1789
Oakfield,New York,1789
Belington,West Virginia,1789
Watkins Glen,New York,1788
Bonneauville,Pennsylvania,1788
Sardis City,Alabama,1787
North Newton,Kansas,1787
Choteau,Montana,1787
Osseo,Wisconsin,1787
Bristol,Indiana,1785
Ramseur,North Carolina,1785
Reidville,South Carolina,1785
Roanoke,Indiana,1784
Gruetli-Laager,Tennessee,1784
Rock Creek,Minnesota,1782
Jean Lafitte,Louisiana,1781
Oronoco,Minnesota,1781
Pinehurst,Idaho,1780
Adams,Wisconsin,1780
Bessemer,Michigan,1779
Saltville,Virginia,1779
Star City,West Virginia,1778
Vevay,Indiana,1777
Westernport,Maryland,1777
Whitewright,Texas,1776
Caledonia,Michigan,1775
Davenport,Washington,1775
Thorp,Wisconsin,1775
Pagosa Springs,Colorado,1773
Bellwood,Pennsylvania,1773
Akron,Colorado,1772
Sun Valley,Idaho,1771
Columbus Junction,Iowa,1771
Honey Grove,Texas,1771
Cowan,Tennessee,1770
South Bend,Washington,1770
Cambria,Illinois,1769
Randolph,Wisconsin,1769
Earle,Arkansas,1768
Weedsport,New York,1768
Butler,Alabama,1767
Syracuse,Kansas,1767
Estill,South Carolina,1767
Butler,Wisconsin,1766
Evart,Michigan,1765
Bayou Vista,Texas,1765
Landover Hills,Maryland,1764
Belzoni,Mississippi,1764
Oakes,North Dakota,1764
Montverde,Florida,1763
Hamilton,Georgia,1763
Upper Brookville,New York,1763
Amity,Oregon,1763
Mayfield,Pennsylvania,1763
Goldthwaite,Texas,1762
St. Marys,West Virginia,1762
Port Edwards,Wisconsin,1761
Somonauk,Illinois,1760
Delcambre,Louisiana,1760
Weyauwega,Wisconsin,1760
Warsaw,Kentucky,1759
Milan,Missouri,1759
Drexel,North Carolina,1759
Peebles,Ohio,1759
Stonewood,West Virginia,1759
Century,Florida,1758
Dundas,Minnesota,1758
Boyd,Texas,1757
Sneads,Florida,1756
Adrian,Missouri,1756
West Liberty,Ohio,1756
Long Beach,Washington,1756
Lamar,Arkansas,1755
Midway,Kentucky,1755
Marcellus,New York,1755
Meridian Hills,Indiana,1754
West Carthage,New York,1754
Clatskanie,Oregon,1753
Romney,West Virginia,1753
Marissa,Illinois,1752
Osakis,Minnesota,1752
Waterville,Minnesota,1752
Saratoga,Wyoming,1752
Forest City,Pennsylvania,1751
Alpine,New Jersey,1750
Mazomanie,Wisconsin,1750
Port Barre,Louisiana,1749
Village of the Branch,New York,1749
Stillwater,New York,1748
Mount Pleasant,North Carolina,1748
Girard,Illinois,1747
Hudson,Illinois,1747
Sharpsburg,North Carolina,1747
Victoria,Virginia,1747
Cridersville,Ohio,1746
Everett,Pennsylvania,1746
WaKeeney,Kansas,1745
Argos,Indiana,1744
Jeffersonville,Kentucky,1744
Lone Jack,Missouri,1744
Maggie Valley,North Carolina,1744
Soap Lake,Washington,1744
Fairfax,Ohio,1743
Grove Hill,Alabama,1742
Gordon,Georgia,1742
Havana,Florida,1740
Roseville,Ohio,1740
Dayton,Virginia,1740
Fennville,Michigan,1739
Hampton,Illinois,1738
Catlettsburg,Kentucky,1738
Bloomfield,Missouri,1738
West Unity,Ohio,1738
Andrews,North Carolina,1737
Navassa,North Carolina,1737
Tunkhannock,Pennsylvania,1737
Richland,Missouri,1736
Honeyville,Utah,1736
Zolfo Springs,Florida,1735
Albany,Kentucky,1735
Huntsville,Tennessee,1735
Caney,Kansas,1732
Lewisport,Kentucky,1732
Hallsville,Missouri,1732
McArthur,Ohio,1732
Carbon Hill,Alabama,1731
Ford Heights,Illinois,1731
French Lick,Indiana,1731
South Floral Park,New York,1731
Woodworth,Louisiana,1730
Holley,New York,1730
Calhoun Falls,South Carolina,1730
Cambridge City,Indiana,1729
Painted Post,New York,1729
Claremont,North Carolina,1729
Monticello,Utah,1729
Franklin,Texas,1728
Springerville,Arizona,1727
Decatur,Arkansas,1727
Moweaqua,Illinois,1727
Orion,Illinois,1727
Lewisburg,Ohio,1726
Paul,Idaho,1725
Shoshone,Idaho,1725
Van Meter,Iowa,1725
White Pigeon,Michigan,1725
Allentown,New Jersey,1724
Gregory,Texas,1724
Deatsville,Alabama,1723
Farley,Iowa,1722
Charleston,Mississippi,1722
Edgewood,Texas,1722
Westwood,Kansas,1721
Hollis,Oklahoma,1721
Steele,Missouri,1720
Woodbine,Iowa,1718
Edgerton,Kansas,1718
Cassopolis,Michigan,1718
Memphis,Missouri,1718
Lakefield,Minnesota,1717
McEwen,Tennessee,1717
McCamey,Texas,1717
Homer City,Pennsylvania,1716
Lake Winnebago,Missouri,1715
Tekamah,Nebraska,1715
Hooker,Oklahoma,1715
Wilmerding,Pennsylvania,1715
Twin City,Georgia,1714
Canton,Pennsylvania,1713
South Coatesville,Pennsylvania,1713
Prairie City,Iowa,1712
Munfordville,Kentucky,1711
Hemby Bridge,North Carolina,1711
Ritzville,Washington,1711
Camden,Alabama,1710
Montrose,Michigan,1709
Unionville,Missouri,1709
Valatie,New York,1709
Shamrock,Texas,1709
Sunray,Texas,1709
Greybull,Wyoming,1709
Idaho Springs,Colorado,1708
Charlotte,Tennessee,1708
Medicine Lodge,Kansas,1707
Edmonton,Kentucky,1706
Ragland,Alabama,1705
Sebewaing,Michigan,1705
Albany,Missouri,1705
Wayland,New York,1705
North Bennington,Vermont,1705
Bridgeport,Illinois,1704
Drew,Mississippi,1704
Ada,Minnesota,1703
Ware Shoals,South Carolina,1703
Stanley,Virginia,1703
Crandon,Wisconsin,1703
Daleville,Indiana,1702
Sylvan Lake,Michigan,1702
Clayton,New York,1701
Sodus,New York,1701
Stacy,Minnesota,1700
Island Heights,New Jersey,1699
Plainville,Kansas,1698
Atlantic Beach,New York,1697
Quogue,New York,1697
St. Johnsville,New York,1697
Crescent City,Florida,1696
Middleport,New York,1696
Stockton,Illinois,1695
Union City,Michigan,1695
Hamilton,Missouri,1694
New Buffalo,Michigan,1693
Avon,Minnesota,1693
Freeport,Pennsylvania,1693
Palmyra,Wisconsin,1693
Chenoa,Illinois,1692
Plymouth,Ohio,1692
Langston,Oklahoma,1692
Elgin,Oregon,1692
Moville,Iowa,1690
Pleasantville,Iowa,1690
Marion,Mississippi,1690
Haskell,Oklahoma,1690
South Charleston,Ohio,1689
Evans City,Pennsylvania,1689
Dundee,New York,1688
Webster,South Dakota,1687
Blue Grass,Iowa,1686
Sardis,Mississippi,1686
Big Timber,Montana,1686
Hidden Hills,California,1685
Wilder,Idaho,1685
Tremont,Pennsylvania,1684
Tuckerman,Arkansas,1683
Canby,Minnesota,1683
Patton,Pennsylvania,1683
Goliad,Texas,1683
Remsen,Iowa,1682
Glen Gardner,New Jersey,1682
Galesville,Wisconsin,1682
Wakefield,Michigan,1681
Trumansburg,New York,1681
Antwerp,Ohio,1681
Mechanicsburg,Ohio,1681
Albion,Nebraska,1680
Lowry Crossing,Texas,1680
Baldwin,Louisiana,1679
Estell Manor,New Jersey,1679
Youngsville,Pennsylvania,1679
Oak Leaf,Texas,1679
Darien,Georgia,1678
Gilman,Illinois,1678
Avoca,Iowa,1678
Coushatta,Louisiana,1678
Chester,New Jersey,1678
Adams,New York,1678
Hildebran,North Carolina,1678
Columbine Valley,Colorado,1677
Morton,Texas,1677
Danbury,Texas,1675
Howey-in-the-Hills,Florida,1674
Sturgis,Kentucky,1674
Marfa,Texas,1674
Bourbon,Indiana,1673
Warsaw,Virginia,1673
Cordova,Alabama,1672
Lookout Mountain,Georgia,1671
Centerburg,Ohio,1671
Lake City,Iowa,1670
Tecumseh,Nebraska,1670
Lebanon,New Jersey,1670
Culver,Oregon,1670
Braddock,Pennsylvania,1670
Hagerstown,Indiana,1669
Owenton,Kentucky,1669
Armada,Michigan,1669
Port Dickinson,New York,1669
Windham,Ohio,1668
Cambridge,Wisconsin,1668
Greenwich,New York,1667
Coalgate,Oklahoma,1666
Braddock Hills,Pennsylvania,1666
Vonore,Tennessee,1666
Cosmopolis,Washington,1666
Reinbeck,Iowa,1665
Lake Como,New Jersey,1665
Muenster,Texas,1665
Sumas,Washington,1665
Moore Haven,Florida,1664
Mediapolis,Iowa,1664
Gilbert,Minnesota,1664
Teutopolis,Illinois,1663
Canyonville,Oregon,1662
Lepanto,Arkansas,1660
Decatur,Michigan,1660
Aurora,Minnesota,1660
Lakeland,Minnesota,1660
Osburn,Idaho,1659
Stanfield,North Carolina,1659
John Day,Oregon,1659
Crested Butte,Colorado,1658
Whitesburg,Kentucky,1658
Murphy,North Carolina,1657
Manson,Iowa,1656
Kettle Falls,Washington,1656
Ina,Illinois,1653
Wright,Wyoming,1653
Franklinville,New York,1652
Independence,Louisiana,1650
Watervliet,Michigan,1650
Holliday,Texas,1650
Mapleton,Minnesota,1649
Shiremanstown,Pennsylvania,1649
Bovina,Texas,1649
Brookston,Indiana,1648
Homer,Georgia,1647
Plentywood,Montana,1647
Dresden,Ohio,1647
Maple Plain,Minnesota,1646
Newton,Alabama,1645
North Lewisburg,Ohio,1645
Jonestown,Pennsylvania,1645
Elgin,South Carolina,1645
Rolling Hills,California,1644
Jerome,Illinois,1644
Clinton,New York,1644
Lake Hamilton,Florida,1643
Jonesboro,Illinois,1643
Lumberton,Mississippi,1643
Duchesne,Utah,1643
Dunsmuir,California,1642
Kenly,North Carolina,1642
Moroni,Utah,1642
New Market,Maryland,1641
Hillsboro,North Dakota,1641
Three Rivers,Texas,1641
Spring Park,Minnesota,1640
Rocky Top,Tennessee,1640
Golden Meadow,Louisiana,1639
Altamont,New York,1639
McConnelsville,Ohio,1639
Shamokin Dam,Pennsylvania,1639
Tieton,Washington,1638
Atlanta,Illinois,1637
Oswego,Kansas,1637
Auburn,Kentucky,1637
Pittsville,Maryland,1637
Wind Point,Wisconsin,1636
Jefferson,North Carolina,1635
Pewee Valley,Kentucky,1634
Flora,Mississippi,1634
Bladenboro,North Carolina,1634
Gaston,South Carolina,1632
Wardsville,Missouri,1631
Manchester,New York,1631
Grandview Plaza,Kansas,1630
Tchula,Mississippi,1630
Decatur,Tennessee,1630
Wellington,Utah,1630
Glouster,Ohio,1629
Ridgeville,South Carolina,1629
Ogden,Kansas,1628
Granite,Oklahoma,1628
Paxtang,Pennsylvania,1628
Phoenix,Illinois,1627
Port Byron,Illinois,1627
Urbana,Iowa,1627
Edgeworth,Pennsylvania,1627
Mount Ayr,Iowa,1626
Hines,Oregon,1626
Archer City,Texas,1626
North Liberty,Indiana,1625
Langhorne,Pennsylvania,1624
Perryopolis,Pennsylvania,1624
Burnsville,North Carolina,1623
Richwood,West Virginia,1623
Haubstadt,Indiana,1622
Varnville,South Carolina,1622
Cottonwood Shores,Texas,1621
Stevenson,Washington,1621
Norris,Tennessee,1620
Chilhowie,Virginia,1620
Yacolt,Washington,1620
Kirkland,Illinois,1618
Jonesville,Louisiana,1618
Moody,Texas,1618
Hudson,Colorado,1617
Belleair Beach,Florida,1617
Eagle River,Wisconsin,1617
Mulberry,Arkansas,1616
White Castle,Louisiana,1616
Forsyth,Montana,1616
Bartlett,Texas,1616
Whitehall,Wisconsin,1616
Kentland,Indiana,1613
Ridgely,Tennessee,1613
Stinnett,Texas,1613
Rock Island,Washington,1613
McMechen,West Virginia,1613
Crystal Falls,Michigan,1612
Cheswick,Pennsylvania,1612
Whitwell,Tennessee,1612
Ridgely,Maryland,1611
Nashville,Michigan,1611
Homer,Michigan,1610
Manteo,North Carolina,1610
Cressona,Pennsylvania,1610
Genola,Utah,1610
Salem,Arkansas,1609
Princeville,Illinois,1609
Zwolle,Louisiana,1609
Fair Grove,Missouri,1609
Warner,Oklahoma,1609
Bruce,Mississippi,1608
Santa Clara,New Mexico,1608
East Spencer,North Carolina,1607
Kimball,Tennessee,1607
Milford,Indiana,1606
Nissequogue,New York,1606
Tryon,North Carolina,1606
Carrier Mills,Illinois,1605
Oberlin,Kansas,1605
Watertown,Tennessee,1605
Sylvan Springs,Alabama,1604
Pineville,Kentucky,1604
Jackson,South Carolina,1604
Monette,Arkansas,1603
Fox Lake,Wisconsin,1603
Wrightsville,Arkansas,1602
Winfield,Missouri,1602
Eudora,Arkansas,1601
Thomson,Illinois,1601
Huachuca City,Arizona,1600
Slater,Iowa,1600
Coal Run Village,Kentucky,1600
Harvey,North Dakota,1600
Inglis,Florida,1599
Comer,Georgia,1599
Bay Springs,Mississippi,1599
Scotland Neck,North Carolina,1598
Walnut Cove,North Carolina,1598
Perry,Ohio,1598
Whiting,Wisconsin,1598
Earlville,Illinois,1597
Lakeside,Texas,1597
Bunker Hill,Illinois,1596
Charlotte,Texas,1596
Owingsville,Kentucky,1595
Henderson,Louisiana,1595
Osgood,Indiana,1594
Elk Rapids,Michigan,1594
Orchard Grass Hills,Kentucky,1592
Brookside Village,Texas,1592
Fulton,Texas,1592
Woodburn,Indiana,1591
Eaton,Indiana,1590
Ainsworth,Nebraska,1590
De Pue,Illinois,1588
Luther,Oklahoma,1587
Akutan,Alaska,1586
Fort Loramie,Ohio,1586
Smith Center,Kansas,1585
Wellston,Missouri,1583
Victory Gardens,New Jersey,1583
Athens,New York,1583
West Baraboo,Wisconsin,1582
Smackover,Arkansas,1581
Sedgwick,Kansas,1581
Ripley,Ohio,1581
Stratford,Wisconsin,1581
South Carthage,Tennessee,1580
Woodstock,Alabama,1579
Guthrie Center,Iowa,1579
Garden City,Missouri,1579
Niagara,Wisconsin,1579
Gordo,Alabama,1578
Ralls,Texas,1578
Wolcott,New York,1577
Pennington Gap,Virginia,1577
Summerdale,Alabama,1576
Dunlap,Illinois,1576
Harbor Beach,Michigan,1576
Walnut Grove,Georgia,1575
South Rockwood,Michigan,1575
Cleveland,Wisconsin,1574
Random Lake,Wisconsin,1574
Edmonston,Maryland,1573
Mont Alto,Pennsylvania,1573
St. Stephen,South Carolina,1573
Sorrento,Louisiana,1572
Roaming Shores,Ohio,1572
Newton,Texas,1571
Woodland Hills,Utah,1571
Hartley,Iowa,1570
Haymarket,Virginia,1570
Darien,Wisconsin,1570
Wadley,Georgia,1569
Hatch,New Mexico,1568
Apollo,Pennsylvania,1568
Malvern,Alabama,1567
Malone,Florida,1567
Port Barrington,Illinois,1567
Salisbury,Missouri,1567
Shelbina,Missouri,1567
Deshler,Ohio,1567
East Berlin,Pennsylvania,1567
East Carbon,Utah,1567
New Plymouth,Idaho,1566
Oakley,Utah,1566
Ackerman,Mississippi,1565
Sharon,Wisconsin,1565
Addison,New York,1564
Union City,Ohio,1564
Trafalgar,Indiana,1563
Montour Falls,New York,1563
River Hills,Wisconsin,1563
Coeburn,Virginia,1562
South Amherst,Ohio,1560
Marathon City,Wisconsin,1560
Warren,Minnesota,1559
Roseto,Pennsylvania,1559
Pierson,Florida,1558
Cairo,Illinois,1558
New Fairview,Texas,1558
Poetry,Texas,1558
Hancock,Maryland,1557
Chatham,New York,1557
Mexico,New York,1557
Denton,North Carolina,1556
Colmar Manor,Maryland,1555
Allegany,New York,1555
Hurley,Wisconsin,1555
Hamilton,Indiana,1554
Dravosburg,Pennsylvania,1554
Aurora,Texas,1554
Harrisville,West Virginia,1554
Worthington Hills,Kentucky,1553
Englewood,Tennessee,1553
Southern View,Illinois,1552
Del Rey Oaks,California,1550
Traer,Iowa,1549
Walcott,Iowa,1549
Itta Bena,Mississippi,1549
Eldorado,Texas,1548
Hughes Springs,Texas,1548
Olive Hill,Kentucky,1546
Chesilhurst,New Jersey,1546
East Hampton,New York,1546
Norwood,New York,1544
Chadbourn,North Carolina,1544
Parkston,South Dakota,1544
Montgomery,Pennsylvania,1543
Bangs,Texas,1543
Akron,Iowa,1542
Douglass,Kansas,1542
Ellaville,Georgia,1541
Delavan,Illinois,1541
Alvord,Texas,1541
Birch Run,Michigan,1540
Buena Vista,Georgia,1539
Tonka Bay,Minnesota,1539
Spencer,Tennessee,1539
Nooksack,Washington,1539
Ackley,Iowa,1538
Connelly Springs,North Carolina,1538
Castle Dale,Utah,1538
Corydon,Iowa,1537
Quinlan,Texas,1537
Shepherdstown,West Virginia,1537
Spring Green,Wisconsin,1537
Keystone Heights,Florida,1536
Pinebluff,North Carolina,1536
Woodbranch,Texas,1535
Bridgeport,Ohio,1534
Helena,Oklahoma,1534
Eureka,Montana,1533
Lynchburg,Ohio,1533
Coalville,Utah,1533
Miami,Arizona,1532
Quincy,Michigan,1532
McComb,Ohio,1532
Ronceverte,West Virginia,1531
